Time,Block,Trial,Scene_from_keyfile,Shapes,Positions,Tracked_x,Tracked_y,Mouse_x,Mouse_y
109226,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],966,526,960,541
109244,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],966,518,960,541
109261,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],972,490,960,541
109278,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],974,497,960,541
109294,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],981,499,960,541
109311,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],987,508,960,541
109327,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],993,498,960,541
109344,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1003,489,960,541
109361,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],993,479,960,541
109378,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],975,486,960,541
109394,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],978,503,960,541
109411,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],952,500,960,541
109427,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],932,515,960,541
109444,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],913,516,960,541
109460,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],902,506,960,541
109476,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],900,507,960,541
109492,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],928,499,960,541
109509,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],934,503,960,541
109526,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],937,510,960,541
109543,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],951,539,960,541
109559,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],959,527,960,541
109575,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],950,533,960,541
109592,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],942,552,960,541
109620,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],959,530,960,541
109636,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],951,517,960,541
109652,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],952,503,960,541
109669,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],923,518,960,541
109684,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],941,525,960,541
109701,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],961,531,960,541
109717,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],949,536,960,541
109734,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],959,567,960,541
109750,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],938,572,960,541
109766,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],942,566,960,541
109782,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],957,588,960,541
109799,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],949,577,960,541
109822,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],970,575,960,541
109846,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],999,580,960,541
109863,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1018,568,960,541
109879,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1016,585,960,541
109896,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1016,594,960,541
109912,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1032,590,960,541
109928,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1039,590,960,541
109949,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1037,606,960,541
109965,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1051,634,960,541
109982,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1018,623,960,541
109998,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],999,633,960,541
110014,0,1,98,[7, 8, 12, 11, 1, 3],[[1, 3], [2, 3], [3, 1], [3, 2], [1, 2], [2, 1]],1008,631,960,541
