Time,Block,Trial,Scene_from_keyfile,Shapes,Positions,Tracked_x,Tracked_y,Mouse_x,Mouse_y
96194,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],940,593,960,540
96210,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],942,603,960,540
96227,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],945,583,960,540
96243,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],969,568,960,540
96259,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],974,565,960,540
96276,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],989,566,960,540
96293,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],996,549,960,540
96309,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],994,558,960,540
96326,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],975,549,960,540
96343,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],978,522,960,540
96360,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],981,526,960,540
96377,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],972,511,960,540
96393,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],994,526,960,540
96409,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],993,517,960,540
96426,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],986,528,960,540
96443,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],964,525,960,540
96460,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],990,514,960,540
96476,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],981,526,960,540
96493,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],998,535,960,540
96510,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],1003,526,960,540
96527,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],984,510,960,540
96543,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],961,533,960,540
96559,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],975,560,960,540
96576,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],972,545,960,540
96593,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],949,547,960,540
96610,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],949,566,960,540
96627,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],909,581,960,540
96644,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],911,575,960,540
96660,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],918,579,960,540
96676,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],918,584,960,540
96693,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],921,571,960,540
96710,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],916,558,960,540
96726,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],908,545,960,540
96742,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],927,526,960,540
96759,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],951,534,960,540
96775,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],949,523,960,540
96791,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],963,512,960,540
96808,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],968,522,960,540
96824,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],998,501,960,540
96840,0,1,11,[8, 5, 6, 2, 10, 3],[[1, 1], [2, 1], [1, 2], [1, 3], [2, 2], [3, 3]],964,488,960,540
