Time,Block,Trial,Scene_from_keyfile,Shapes,Positions,Tracked_x,Tracked_y,Mouse_x,Mouse_y
6449,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1305,667,2032,723
6482,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1308,651,2032,723
6515,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1308,661,2030,723
6556,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1286,690,2029,723
6608,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1283,700,2029,723
6671,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1255,702,2029,723
6727,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1231,727,2029,723
6777,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1228,739,2029,723
6817,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1190,751,2029,723
6853,0,1,31,[np.int64(5), np.int64(1), np.int64(11), np.int64(3), np.int64(6), np.int64(9)],[[np.int64(1), np.int64(1)], [np.int64(2), np.int64(1)], [np.int64(3), np.int64(1)], [np.int64(3), np.int64(2)], [np.int64(1), np.int64(2)], [np.int64(2), np.int64(3)]],1179,761,2029,723
