Time,Block,Trial,Scene_from_keyfile,Shapes,Positions,Tracked_x,Tracked_y,Mouse_x,Mouse_y
144769,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],954,548,965,545
144786,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],964,548,965,545
144802,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],959,540,965,545
144818,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],972,563,965,545
144835,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],949,558,965,545
144851,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],953,558,965,545
144868,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],938,553,965,545
144885,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],945,557,965,545
144901,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],947,556,965,545
144917,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],940,587,965,545
144933,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],910,589,965,545
144950,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],923,591,965,545
144966,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],920,580,965,545
144982,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],889,579,965,545
144999,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],895,573,965,545
145016,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],902,566,965,545
145032,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],918,578,965,545
145048,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],929,583,965,545
145065,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],944,591,965,545
145088,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],945,585,965,545
145105,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],957,566,965,545
145121,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],931,545,965,545
145138,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],950,544,965,545
145155,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],946,544,965,545
145172,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],942,549,965,545
145188,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],913,557,965,545
145204,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],906,549,965,545
145221,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],889,557,965,545
145237,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],905,558,965,545
145254,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],900,551,965,545
145270,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],913,540,965,545
145287,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],938,549,965,545
145304,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],943,571,965,545
145321,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],950,586,965,545
145338,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],937,592,965,545
145353,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],960,577,965,545
145370,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],975,579,965,545
145387,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],967,578,965,545
145403,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],972,592,965,545
145419,0,1,16,[9, 1, 10, 3, 6, 2],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],1020,595,965,545
