Time,Block,Trial,Scene_from_keyfile,Shapes,Positions,Tracked_x,Tracked_y,Mouse_x,Mouse_y
97977,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],936,503,963,542
98035,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],917,508,963,542
98071,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],888,475,963,542
98105,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],856,458,963,542
98140,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],852,475,963,542
98175,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],870,471,963,542
98209,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],872,449,963,542
98244,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],872,425,963,542
98278,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],891,431,963,542
98312,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],902,414,963,542
98346,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],874,398,963,542
98380,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],865,393,963,542
98414,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],878,408,963,542
98448,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],886,430,963,542
98482,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],885,423,963,542
98517,0,1,15,[4, 9, 11, 12, 7, 3],[[1, 1], [2, 1], [3, 2], [3, 3], [1, 3], [2, 2]],887,435,963,542
